Cod_IBGE;Grande região;Município;casos_20;obitos_20;casos_21;obitos_21
3511201;Interior;Catiguá;4,37E+03;1,06E+02;7,25E+03;4,12E+02
3511300;Interior;Cedral;3,86E+03;1,13E+02;1,14E+04;2,26E+02
3511409;Interior;Cerqueira César;1,68E+03;4,16E+01;9,78E+03;2,19E+02
3511508;Interior;Cerquilho;2,68E+03;4,52E+01;1,15E+04;3,02E+02
3511607;Interior;Cesário Lange;1,79E+03;4,06E+01;1,21E+04;3,59E+02
3511706;Interior;Charqueada;2,44E+03;4,72E+01;6,93E+03;2,24E+02
3511904;Interior;Clementina;2,39E+03;2,40E+01;9,24E+03;2,40E+02
3512001;Interior;Colina;2,10E+03;9,09E+01;7,48E+03;3,12E+02
3512100;Interior;Colômbia;2,05E+03;3,31E+01;9,39E+03;2,15E+02
3512209;Interior;Conchal;3,06E+03;8,06E+01;7,64E+03;2,27E+02
3512308;Interior;Conchas;2,90E+03;7,00E+01;1,16E+04;3,56E+02
3512407;Interior;Cordeirópolis;7,92E+03;1,11E+02;1,64E+04;3,08E+02
3512506;Interior;Coroados;2,95E+03;6,75E+01;1,02E+04;2,70E+02
3512605;Interior;Coronel Macedo;9,91E+02;4,13E+01;1,27E+04;4,75E+02
3512704;Interior;Corumbataí;3,41E+03;5,05E+01;7,07E+03;1,26E+02
3512803;Interior;Cosmópolis;3,02E+03;6,73E+01;8,10E+03;1,77E+02
3512902;Interior;Cosmorama;5,02E+03;3,00E+02;6,37E+03;2,86E+02
3513009;RMSP (exceto capital);Cotia;2,34E+03;9,30E+01;4,46E+03;1,77E+02
3513108;Interior;Cravinhos;1,40E+03;1,07E+02;5,01E+03;1,77E+02
3513207;Interior;Cristais Paulista;1,57E+03;2,37E+01;1,38E+04;1,78E+02
3513306;Interior;Cruzália;1,37E+03;0,00E+00;7,98E+03;2,83E+02
3513405;Interior;Cruzeiro;1,38E+03;4,88E+01;7,04E+03;8,13E+01
3513504;Interior;Cubatão;6,29E+03;1,77E+02;4,30E+03;2,18E+02
3513603;Interior;Cunha;1,16E+03;9,22E+00;2,86E+03;5,53E+01
3513702;Interior;Descalvado;2,77E+03;2,47E+01;1,05E+04;2,41E+02
3513801;RMSP (exceto capital);Diadema;2,87E+03;1,19E+02;3,74E+03;2,42E+02
3513850;Interior;Dirce Reis;1,63E+03;0,00E+00;9,78E+03;2,91E+02
3513900;Interior;Divinolândia;1,73E+03;6,43E+01;1,10E+04;3,77E+02
3514007;Interior;Dobrada;2,19E+03;2,25E+01;4,74E+03;8,98E+01
3514106;Interior;Dois Córregos;1,67E+03;1,48E+01;5,15E+03;1,45E+02
3514205;Interior;Dolcinópolis;3,92E+03;2,45E+02;8,33E+03;9,80E+01
3514304;Interior;Dourado;2,44E+03;4,72E+01;9,35E+03;1,77E+02
3514403;Interior;Dracena;3,09E+03;7,78E+01;9,98E+03;5,20E+02
3514502;Interior;Duartina;2,46E+03;4,18E+01;6,97E+03;1,92E+02
3514601;Interior;Dumont;6,32E+03;5,22E+01;1,00E+04;1,99E+02
3514700;Interior;Echaporã;1,29E+03;1,61E+01;1,15E+04;3,86E+02
3514809;Interior;Eldorado;3,94E+03;5,25E+01;7,05E+03;1,25E+02
3514908;Interior;Elias Fausto;4,00E+03;1,10E+02;4,81E+03;9,80E+01
3514924;Interior;Elisiário;5,52E+03;8,57E+01;1,10E+04;1,43E+02
3514957;Interior;Embaúba;2,57E+03;4,15E+01;2,53E+03;3,74E+02
3515004;RMSP (exceto capital);Embu das Artes;1,69E+03;7,72E+01;2,27E+03;1,59E+02
3515103;RMSP (exceto capital);Embu-Guaçu;2,57E+03;8,52E+01;5,06E+03;2,32E+02
3515129;Interior;Emilianópolis;3,59E+03;9,78E+01;8,54E+03;1,63E+02
3515152;Interior;Engenheiro Coelho;4,53E+03;1,02E+02;8,64E+03;1,75E+02
3515186;Interior;Espírito Santo do Pinhal;2,83E+03;5,64E+01;8,95E+03;2,00E+02
3515194;Interior;Espírito Santo do Turvo;1,23E+03;2,08E+01;8,67E+03;1,67E+02
3515202;Interior;Estrela d'Oeste;7,40E+03;1,73E+02;1,17E+04;2,22E+02
3515301;Interior;Estrela do Norte;2,81E+03;7,50E+01;1,10E+04;1,50E+02
3515350;Interior;Euclides da Cunha Paulista;5,56E+02;4,19E+01;4,74E+03;1,15E+02
3515400;Interior;Fartura;2,80E+03;6,39E+00;1,22E+04;3,20E+02
3515509;Interior;Fernandópolis;6,25E+03;1,09E+02;1,30E+04;4,40E+02
3515608;Interior;Fernando Prestes;3,05E+03;5,38E+01;1,30E+04;1,44E+02
3515657;Interior;Fernão;2,43E+03;0,00E+00;1,21E+04;6,06E+01
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;2,64E+03;7,98E+01;2,77E+03;1,81E+02
3515806;Interior;Flora Rica;3,46E+03;1,26E+02;4,78E+03;3,15E+02
3515905;Interior;Floreal;2,00E+03;3,50E+01;7,18E+03;2,10E+02
3516002;Interior;Flórida Paulista;7,34E+02;1,65E+01;1,02E+04;2,72E+02
3516101;Interior;Florínea;1,59E+03;3,70E+01;1,27E+04;4,44E+02
3516200;Interior;Franca;2,27E+03;6,72E+01;8,97E+03;2,15E+02
3516309;RMSP (exceto capital);Francisco Morato;2,20E+03;8,49E+01;4,81E+03;1,75E+02
3516408;RMSP (exceto capital);Franco da Rocha;2,26E+03;9,13E+01;6,45E+03;1,73E+02
3516507;Interior;Gabriel Monteiro;2,20E+03;1,49E+02;9,91E+03;7,45E+01
3516606;Interior;Gália;1,95E+03;7,62E+01;7,15E+03;2,13E+02
3516705;Interior;Garça;2,33E+03;5,41E+01;1,09E+04;2,82E+02
3516804;Interior;Gastão Vidigal;1,78E+03;2,52E+02;2,56E+03;8,39E+01
3516853;Interior;Gavião Peixoto;6,46E+03;2,17E+01;2,29E+04;4,77E+02
3516903;Interior;General Salgado;3,35E+03;2,82E+01;7,18E+03;3,57E+02
3517000;Interior;Getulina;3,11E+03;3,69E+01;6,94E+03;2,77E+02
3517109;Interior;Glicério;3,62E+03;1,47E+02;8,82E+03;2,95E+02
3517208;Interior;Guaiçara;4,92E+03;7,53E+01;6,55E+03;1,26E+02
3517307;Interior;Guaimbê;1,52E+03;5,42E+01;9,09E+03;1,08E+02
3517406;Interior;Guaíra;4,37E+03;1,23E+02;1,04E+04;4,53E+02
3517505;Interior;Guapiaçu;5,38E+03;1,58E+02;4,49E+03;2,25E+02
3517604;Interior;Guapiara;1,73E+03;7,31E+01;1,13E+04;4,16E+02
3517703;Interior;Guará;2,99E+03;1,20E+02;9,28E+03;3,89E+02
3517802;Interior;Guaraçaí;1,59E+03;1,19E+01;8,98E+03;2,62E+02
3517901;Interior;Guaraci;2,69E+03;6,38E+01;9,98E+03;1,91E+02
3518008;Interior;Guarani d'Oeste;3,12E+03;0,00E+00;8,74E+03;2,60E+02
